,label,predicted
458,83.17,81.30394884193807
204,84.25,83.38561252710723
999,81.0,82.38411739263827
920,81.5,82.76022520264864
757,82.17,81.44274959292461
406,83.33,82.89253789319936
277,83.83,82.46507468350349
1151,79.75,81.57814097235855
789,82.08,81.36630201844434
221,84.17,81.87436926743607
61,85.75,83.06398410553722
441,83.17,82.62070062008368
534,82.92,82.37505918664158
1263,76.42,81.15902522889768
150,84.58,83.24932765987903
1105,80.17,84.42252708082066
980,81.17,82.90224631907162
89,85.08,82.9741749035504
1159,79.67,82.98381049997347
554,82.92,81.73890187026105
1177,79.33,82.81662705399488
541,82.92,82.0703160565024
1068,80.5,83.21194032693269
795,82.0,81.84614210499505
804,82.0,81.37155506125194
429,83.25,81.69585843824639
175,84.42,81.57280615756902
551,82.92,82.3747296438598
1234,78.08,81.3459044334194
846,81.83,81.52429888073573
92,85.08,83.93130673384827
631,82.67,83.15902805575625
1095,80.25,81.82738413205614
42,86.17,82.81159922952263
25,86.92,82.54067493801982
1289,74.0,79.63285262196639
709,82.33,83.05730530458034
1135,79.92,81.89877042360628
1042,80.75,84.98646242873305
344,83.58,83.26382884110629
235,84.08,83.26970076632453
147,84.58,84.1205952247214
359,83.5,86.48162435580032
110,84.92,83.39268753056476
1142,79.83,81.28291793258059
162,84.5,82.94461869189472
768,82.17,80.53150796685972
842,81.83,81.14962793889634
50,86.0,85.67383095073552
935,81.42,82.67454725755265
158,84.5,82.9952945143362
208,84.25,82.31053386342224
