,label,predicted
84,85.25,82.34808534403275
622,82.67,82.69671126196054
679,82.42,82.34784064812239
386,83.42,82.29646507682466
465,83.17,80.69110713728551
948,81.42,82.58581340579406
280,83.83,82.08676118149934
1043,80.75,80.97306304175096
863,81.75,81.11728550705968
903,81.58,81.87967262972711
636,82.58,82.304743920703
543,82.92,82.41760174587249
1091,80.33,81.18466608522711
459,83.17,81.22762555800146
898,81.58,82.00592923809364
312,83.75,83.09051537008746
96,85.0,82.59548786624178
395,83.38,81.831825786367
349,83.58,82.65751276354035
506,83.0,82.8018853596273
189,84.33,83.67557727779013
1022,80.92,82.31744844923662
535,82.92,82.34833003994312
991,81.08,81.94831881499962
109,84.92,82.1283317491767
131,84.67,83.32077901046085
51,86.0,82.98923068607013
1024,80.92,81.8616933205296
682,82.42,82.01640720617321
1279,75.17,81.135999196361
1209,78.75,80.7356208754335
35,86.25,82.73484696882805
118,84.83,83.16590897842583
615,82.67,82.1279402357201
944,81.42,81.87967262972711
1168,79.58,81.99350591896473
1010,81.0,83.07824915531317
924,81.5,80.83491691177449
224,84.17,82.64823005658067
458,83.17,81.23453573878786
204,84.25,82.34735125630164
999,81.0,82.6186422791243
920,81.5,82.98185962578363
757,82.17,81.26444561217285
406,83.33,82.00751972978853
277,83.83,81.92461986121391
1151,79.75,81.26510829447876
789,82.08,80.88696294986661
221,84.17,82.07907524446281
61,85.75,82.8022206259821
441,83.17,81.97299056673226
534,82.92,82.61913167094505
1263,76.42,80.78703070415867
150,84.58,83.35686714309803
1105,80.17,83.19303253178589
980,81.17,82.00703033796778
89,85.08,83.66421954128566
1159,79.67,82.85620745011047
554,82.92,82.8844374155261
1177,79.33,82.75922833657374
541,82.92,81.48148290581402
1068,80.5,83.40244098007777
795,82.0,81.27673524516914
804,82.0,80.91508560651393
429,83.25,81.31408095193662
175,84.42,81.91174924822614
551,82.92,81.92941476744618
1234,78.08,80.88794173350811
846,81.83,81.97162923316318
92,85.08,82.65751276354035
631,82.67,82.98887025300691
1095,80.25,81.27771402881062
42,86.17,82.50945793726271
25,86.92,82.36508450720098
1289,74.0,80.6375048332034
709,82.33,82.44745484126527
1135,79.92,81.19697227453774
1042,80.75,81.82465571359786
344,83.58,82.29775217731323
235,84.08,83.35576601150134
147,84.58,82.72651401171827
359,83.5,84.0657517628002
110,84.92,82.34698421243607
1142,79.83,80.83638508723672
162,84.5,82.56342350312998
768,82.17,81.40662918614154
842,81.83,80.821818845682
50,86.0,83.61890747890162
935,81.42,81.81182740786774
158,84.5,82.45063588810012
208,84.25,81.7641072910346
