,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_kneighborsregressor__n_neighbors,param_kneighborsregressor__p,param_kneighborsregressor__weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,mean_train_score,std_train_score
7,0.006445527076721191,0.0004440209676817227,0.005852758884429932,0.0019236556085661406,3,2,distance,"{'kneighborsregressor__n_neighbors': 3, 'kneighborsregressor__p': 2, 'kneighborsregressor__weights': 'distance'}",-7.243131619914086,-6.2276203511391,-6.712611193664178,-38.32443866908273,-14.626950458450024,13.686464484876153,73,-0.6221201623931627,-0.5359714102564105,-0.6374120256410258,-0.6583933179723499,-0.6134742290657372,0.0465622748036801
8,0.0059906840324401855,0.002916857813627393,0.014928758144378662,0.005911541483427405,6,1,uniform,"{'kneighborsregressor__n_neighbors': 6, 'kneighborsregressor__p': 1, 'kneighborsregressor__weights': 'uniform'}",-6.4267218894009215,-5.944796185355864,-5.571818586789557,-35.997991885288066,-13.485332136708603,13.001223083974661,33,-12.297804658119661,-11.719154905982904,-12.387666371794873,-3.998077726574502,-10.100675915617984,3.532664679704989
9,0.007237851619720459,0.0024308239005838665,0.01346898078918457,0.004952350938822953,6,1,distance,"{'kneighborsregressor__n_neighbors': 6, 'kneighborsregressor__p': 1, 'kneighborsregressor__weights': 'distance'}",-7.396792299517489,-5.788588614156919,-6.243130663744014,-37.474491982820275,-14.225750890059675,13.435462131771423,72,-0.4637841581196582,-0.5172382615384616,-0.6479476717948719,-0.627189008363202,-0.5640397749540484,0.07627242489466206
10,0.004686236381530762,0.0018232828885760746,0.0038428306579589844,0.0011188410717465965,6,2,uniform,"{'kneighborsregressor__n_neighbors': 6, 'kneighborsregressor__p': 2, 'kneighborsregressor__weights': 'uniform'}",-6.54686008704557,-5.960802905785973,-5.5713473630312365,-35.984350038580246,-13.515840098610756,12.97684643061195,34,-12.338598294871797,-11.735914188034185,-12.419760679487181,-4.028728750640042,-10.130750478258301,3.5328946836185784
11,0.005802750587463379,0.001322868429580993,0.004964292049407959,0.0012511965041207412,6,2,distance,"{'kneighborsregressor__n_neighbors': 6, 'kneighborsregressor__p': 2, 'kneighborsregressor__weights': 'distance'}",-7.507208353890527,-5.758697691292648,-6.237077871165776,-37.092605755761376,-14.148897418027582,13.261958055923346,71,-0.4637841581196582,-0.5172382615384616,-0.6479476717948719,-0.6271890083632021,-0.5640397749540484,0.07627242489466207
12,0.005172431468963623,0.0022890737657735617,0.017702043056488037,0.0066884419578306445,8,1,uniform,"{'kneighborsregressor__n_neighbors': 8, 'kneighborsregressor__p': 1, 'kneighborsregressor__weights': 'uniform'}",-6.071449395161294,-6.256543944412442,-6.151563860887098,-35.86796177662037,-13.586879744270302,12.864156162463495,37,-13.202878723557694,-12.664655125000001,-13.084591007211541,-4.292344254032258,-10.811117277450373,3.7689259046226353
13,0.0067827701568603516,0.004830915627668819,0.0142747163772583,0.005220626073316046,8,1,distance,"{'kneighborsregressor__n_neighbors': 8, 'kneighborsregressor__p': 1, 'kneighborsregressor__weights': 'distance'}",-7.113922834971431,-5.63702231186351,-6.369572258516482,-37.181761293004875,-14.075569674589074,13.350581406777637,70,-0.4645152499999999,-0.5192343953525643,-0.6349375884615386,-0.6279299203149002,-0.5616542885322507,0.0724540225954733
14,0.0068212151527404785,0.0024334948520262512,0.003980040550231934,0.0010476671568249137,8,2,uniform,"{'kneighborsregressor__n_neighbors': 8, 'kneighborsregressor__p': 2, 'kneighborsregressor__weights': 'uniform'}",-6.129875626440097,-6.262881473214285,-6.143064069700461,-35.84293377459491,-13.59468873598744,12.845134779013234,39,-13.284951596153848,-12.730885161057692,-12.993259584134615,-4.383757843701998,-10.848213546262038,3.73739731524164
15,0.004717528820037842,0.0017194387034811126,0.006063997745513916,0.002891037345141855,8,2,distance,"{'kneighborsregressor__n_neighbors': 8, 'kneighborsregressor__p': 2, 'kneighborsregressor__weights': 'distance'}",-7.1693678577715465,-5.609694151157766,-6.4771350858878565,-36.81549937099794,-14.017924116453777,13.173780689951396,69,-0.4645152499999999,-0.5192343953525643,-0.6349375884615386,-0.6279299203149002,-0.5616542885322507,0.0724540225954733
16,0.0061005353927612305,0.004216087354206605,0.021421968936920166,0.009401238097544585,11,1,uniform,"{'kneighborsregressor__n_neighbors': 11, 'kneighborsregressor__p': 1, 'kneighborsregressor__weights': 'uniform'}",-5.826855489964579,-5.6388363217427715,-5.878480062459537,-35.79628141261095,-13.28511332169446,12.99713494292927,26,-13.593272751430389,-13.380895621106166,-13.548397373172282,-4.655885573370911,-11.294612829769935,3.833688096135638
17,0.006994128227233887,0.0016575036280124598,0.015561282634735107,0.0095584916774083,11,1,distance,"{'kneighborsregressor__n_neighbors': 11, 'kneighborsregressor__p': 1, 'kneighborsregressor__weights': 'distance'}",-6.996180354097475,-5.542128872364412,-6.321876786584088,-36.894440842815875,-13.938656713965463,13.263512159630341,68,-0.46476326923076944,-0.517061817058699,-0.6317777102034332,-0.6259304232804233,-0.5598833049433312,0.07143620994801997
18,0.007611393928527832,0.005062172062558872,0.009519040584564209,0.008538636552580038,11,2,uniform,"{'kneighborsregressor__n_neighbors': 11, 'kneighborsregressor__p': 2, 'kneighborsregressor__weights': 'uniform'}",-5.951996343832121,-5.686434223254748,-5.957348238564953,-35.78557850474441,-13.345339327599056,12.956341058841645,32,-13.622693408773047,-13.403858029243482,-13.610068527654164,-4.683503100125681,-11.330030766449093,3.8383578428522234
19,0.0086442232131958,0.005108869831411941,0.007544815540313721,0.0011745707375682777,11,2,distance,"{'kneighborsregressor__n_neighbors': 11, 'kneighborsregressor__p': 2, 'kneighborsregressor__weights': 'distance'}",-7.090202646116855,-5.559546488373073,-6.443092560361609,-36.546933631961444,-13.909943831703245,13.080760497341208,67,-0.46476326923076944,-0.517061817058699,-0.6317777102034331,-0.6259304232804233,-0.5598833049433312,0.07143620994801994
