,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_randomforestregressor__max_depth,param_randomforestregressor__max_features,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,mean_train_score,std_train_score
29,0.11590301990509033,0.025301419622400265,0.01118248701095581,0.004357865478804219,100,log2,"{'randomforestregressor__max_depth': 100, 'randomforestregressor__max_features': 'log2'}",-39.92860247669154,-5.200127331113236,-5.778158350085839,-9.079545026907896,-14.996608296199627,14.470373442461577,9,-1.045341950919683,-2.60208314430882,-3.3809933858768644,-2.6720983564144736,-2.42512920937996,0.852906157967158
0,0.07814019918441772,0.007151792694730637,0.01065981388092041,0.0036656417940973927,1,0.5,"{'randomforestregressor__max_depth': 1, 'randomforestregressor__max_features': 0.5}",-4.536941800132435,-8.182760934154608,-6.913673197373123,-6.186951886945015,-6.455081954651296,1.3177951253613525,26,-6.94910903234673,-5.715771003327767,-6.138136772952986,-6.459536985937459,-6.315638448641235,0.4509267031001868
1,0.08371609449386597,0.010090497772298132,0.008337438106536865,0.003301059409910745,1,0.75,"{'randomforestregressor__max_depth': 1, 'randomforestregressor__max_features': 0.75}",-4.53974180205203,-8.227947264015109,-6.927522893172139,-6.189207625943734,-6.471104896295753,1.3327079542912814,28,-6.926112330678888,-5.674456282624136,-6.1078082499410655,-6.424149546947711,-6.28313160254795,0.45676421719641097
2,0.09333384037017822,0.00934473926594876,0.011090695858001709,0.003841911503339599,1,1.0,"{'randomforestregressor__max_depth': 1, 'randomforestregressor__max_features': 1.0}",-4.513024389050885,-8.263244487182538,-6.906929515688975,-6.19780114950673,-6.4702498853572825,1.3518948460197928,27,-6.913226007060369,-5.668524827417973,-6.108256682612066,-6.417006865505492,-6.276753595648975,0.45362472220990374
3,0.08705168962478638,0.007978045575831741,0.011881768703460693,0.006736824955982426,1,sqrt,"{'randomforestregressor__max_depth': 1, 'randomforestregressor__max_features': 'sqrt'}",-4.719566597871167,-8.292796324442257,-7.2838520884606055,-6.41023103720115,-6.676611511993795,1.3116571406946265,29,-7.259434747473004,-5.990265242166746,-6.449320394018977,-6.668778262224403,-6.591949661470783,0.45656495219635135
4,0.0723567008972168,0.0059933609135970015,0.007716178894042969,0.00228634414331517,1,log2,"{'randomforestregressor__max_depth': 1, 'randomforestregressor__max_features': 'log2'}",-4.776750476055942,-8.368332230723409,-7.3444633529392185,-6.466838813184022,-6.739096218225648,1.3177446887222215,30,-7.32226806249791,-6.100796906273088,-6.50867946315488,-6.713106630884415,-6.661212765702573,0.4407435259169661
5,0.09142369031906128,0.015103493727277529,0.008976578712463379,0.0026186883066361085,3,0.5,"{'randomforestregressor__max_depth': 3, 'randomforestregressor__max_features': 0.5}",-4.129770684895893,-7.734827561611106,-6.259416027554567,-5.578692034170656,-5.925676577058056,1.297120421571619,22,-5.796755102090117,-4.690685551607855,-5.261514240029049,-5.457171391072637,-5.301531571199915,0.4013117072559915
6,0.1098334789276123,0.011015348149444404,0.006606698036193848,0.0017154680383990278,3,0.75,"{'randomforestregressor__max_depth': 3, 'randomforestregressor__max_features': 0.75}",-4.275143761831522,-7.82834938035666,-6.232582585759134,-5.473269514818372,-5.952336310691423,1.2884528370397725,23,-5.716582253485724,-4.540492191238795,-5.161168235962407,-5.43086663095906,-5.2122773279114964,0.4347447959721506
7,0.11871033906936646,0.004714995530237873,0.010551273822784424,0.0012845818073843873,3,1.0,"{'randomforestregressor__max_depth': 3, 'randomforestregressor__max_features': 1.0}",-4.312913450230809,-7.809263813341782,-6.125364461767768,-5.410849914278466,-5.914597909904707,1.2701709113825583,21,-5.655504949567655,-4.494494703135697,-5.137840218768961,-5.4360427377993625,-5.180970652317919,0.4368506698981667
8,0.07893794775009155,0.010262572284199472,0.01622706651687622,0.006851067040130602,3,sqrt,"{'randomforestregressor__max_depth': 3, 'randomforestregressor__max_features': 'sqrt'}",-4.242809449876473,-7.888053680405491,-6.595227916312728,-5.900927056880643,-6.156754525868834,1.315132039419523,24,-6.433242471744709,-5.149470448480722,-5.723508585899654,-5.941003503755573,-5.811806252470165,0.4608036728190442
9,0.11311167478561401,0.03631693004221034,0.008969366550445557,0.003960318636984881,3,log2,"{'randomforestregressor__max_depth': 3, 'randomforestregressor__max_features': 'log2'}",-4.266648776176883,-8.000508782740548,-6.761761776622985,-6.071896192003051,-6.275203881885867,1.3499114059151542,25,-6.54443248885882,-5.412039130090771,-5.824049198216438,-6.084543571084674,-5.966266097062675,0.41099243140838804
10,0.2230854630470276,0.008955307311352287,0.012157440185546875,0.0020404367427824172,10,0.5,"{'randomforestregressor__max_depth': 10, 'randomforestregressor__max_features': 0.5}",-3.9950967898760905,-7.1868433058099495,-6.348271354182882,-5.187201334114019,-5.679353195995735,1.2040464100532895,9,-2.5229578660491474,-1.9906029540419898,-2.2701641367128755,-2.4576499609443556,-2.310343729437092,0.20661102345343677
11,0.2925349473953247,0.024935210656749338,0.03159826993942261,0.01386492198949436,10,0.75,"{'randomforestregressor__max_depth': 10, 'randomforestregressor__max_features': 0.75}",-3.975132958323132,-7.300776292583439,-6.291842166104378,-5.17557590462104,-5.685831830407997,1.2411834960668693,10,-2.4662583063635717,-1.8943459291082183,-2.1347999185547737,-2.44686555847269,-2.2355674281248135,0.23688150179317408
12,0.3111438751220703,0.021959573139494183,0.0148543119430542,0.004842089621222292,10,1.0,"{'randomforestregressor__max_depth': 10, 'randomforestregressor__max_features': 1.0}",-4.01342355888161,-7.296136055244356,-6.420219394485345,-5.085665762271795,-5.703861192720776,1.253819494104675,11,-2.425620276921576,-1.906525001783561,-2.0981367317565307,-2.365825831746831,-2.1990269605521244,0.2091068079983338
13,0.16788697242736816,0.012046237237644345,0.021013855934143066,0.004432662855005647,10,sqrt,"{'randomforestregressor__max_depth': 10, 'randomforestregressor__max_features': 'sqrt'}",-3.7102470075279137,-7.33468763579443,-5.744403015959216,-5.274878731234445,-5.516054097629001,1.2921567221759125,1,-3.4359897150970746,-2.6540772202762657,-3.0022417711106697,-3.138504849494436,-3.0577033889946117,0.2809001137715855
