,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_elasticnet__alpha,param_elasticnet__l1_ratio,param_elasticnet__max_iter,param_elasticnet__selection,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,mean_train_score,std_train_score
0,4.97794246673584,0.1304169578131591,0.005977213382720947,0.002760904668959705,0.1,0.0,100000,cyclic,"{'elasticnet__alpha': 0.1, 'elasticnet__l1_ratio': 0.0, 'elasticnet__max_iter': 100000, 'elasticnet__selection': 'cyclic'}",-5.998767991000101,-5.088380154262546,-5.765969523772179,-36.16151090221563,-13.253657142812614,13.230083093534962,1,-14.920681194623045,-15.270279992435126,-15.081562951848005,-5.358552801981672,-12.657769235221963,4.216020621172172
1,4.997705698013306,0.04220949232766088,0.0030739903450012207,0.0014390943200383445,0.1,0.0,100000,random,"{'elasticnet__alpha': 0.1, 'elasticnet__l1_ratio': 0.0, 'elasticnet__max_iter': 100000, 'elasticnet__selection': 'random'}",-5.998767991000073,-5.088380154262587,-5.765969523772188,-36.16151090221566,-13.253657142812628,13.23008309353497,2,-14.92068119462306,-15.27027999243511,-15.081562951848008,-5.358552801981671,-12.657769235221963,4.216020621172173
2,0.012766003608703613,0.0062739009285749025,0.0041915178298950195,0.0018720005989650405,0.1,0.25,100000,cyclic,"{'elasticnet__alpha': 0.1, 'elasticnet__l1_ratio': 0.25, 'elasticnet__max_iter': 100000, 'elasticnet__selection': 'cyclic'}",-6.028679756410082,-5.167830155365672,-5.9163598910336095,-36.30720149531631,-13.35501782453142,13.255580320449745,4,-15.136519916237166,-15.472113167562465,-15.276976418806035,-5.564724044092806,-12.862583386674618,4.215106099362533
3,0.007031798362731934,0.003733825014579051,0.002237677574157715,0.000610967566001395,0.1,0.25,100000,random,"{'elasticnet__alpha': 0.1, 'elasticnet__l1_ratio': 0.25, 'elasticnet__max_iter': 100000, 'elasticnet__selection': 'random'}",-6.028680444495612,-5.167864262576826,-5.9162960996331755,-36.30708774653112,-13.354982138309182,13.255534669081422,3,-15.136521573587883,-15.472123179607877,-15.276950744755318,-5.56471887558547,-12.862578593384137,4.215106433137029
4,0.005418241024017334,0.0011392658902681719,0.0017467141151428223,5.8813174878083776e-05,0.1,0.5,100000,cyclic,"{'elasticnet__alpha': 0.1, 'elasticnet__l1_ratio': 0.5, 'elasticnet__max_iter': 100000, 'elasticnet__selection': 'cyclic'}",-6.0383448943302085,-5.239511242049186,-6.028446602072326,-36.58804270067104,-13.47358635978069,13.34907306370685,8,-15.305411814566597,-15.643207400677461,-15.427561381426175,-5.711922996548559,-13.022025898304697,4.222222433321826
5,0.006104707717895508,0.0026217899195777375,0.0027222037315368652,0.0018075393468524514,0.1,0.5,100000,random,"{'elasticnet__alpha': 0.1, 'elasticnet__l1_ratio': 0.5, 'elasticnet__max_iter': 100000, 'elasticnet__selection': 'random'}",-6.038341964414557,-5.23949874257898,-6.028564134995583,-36.587937903407585,-13.473585686349177,13.349013646300683,7,-15.305394196208175,-15.643216217538507,-15.42770301056001,-5.711905173931901,-13.02205464955965,4.222249307050179
6,0.006616532802581787,0.0028992543199167276,0.0017469525337219238,0.00013061708871647451,0.1,0.75,100000,cyclic,"{'elasticnet__alpha': 0.1, 'elasticnet__l1_ratio': 0.75, 'elasticnet__max_iter': 100000, 'elasticnet__selection': 'cyclic'}",-6.042032423334417,-5.275302858316792,-6.131063261619765,-36.67404138606374,-13.53060998233368,13.366007242069134,9,-15.433231293920336,-15.792609006735471,-15.533329612476356,-5.769505468916178,-13.132168845512085,4.252858311441846
7,0.007669627666473389,0.0023250200173684458,0.00525665283203125,0.001891790812999092,0.1,0.75,100000,random,"{'elasticnet__alpha': 0.1, 'elasticnet__l1_ratio': 0.75, 'elasticnet__max_iter': 100000, 'elasticnet__selection': 'random'}",-6.042037306623251,-5.2753054084827244,-6.131155229566373,-36.67403597309658,-13.530633479442232,13.365991092623878,10,-15.433235340037628,-15.792611466244528,-15.533419117135653,-5.769516850472189,-13.132195693472498,4.252866951086989
8,0.009402215480804443,0.0028246446654055985,0.0031442642211914062,0.001998942494253677,0.1,1.0,100000,cyclic,"{'elasticnet__alpha': 0.1, 'elasticnet__l1_ratio': 1.0, 'elasticnet__max_iter': 100000, 'elasticnet__selection': 'cyclic'}",-6.045335386413939,-5.2671450951980265,-6.1799444976130715,-36.667167653689724,-13.53989815822869,13.357080768123012,11,-15.517907811965339,-15.838760130916159,-15.536573713446034,-5.81250568468255,-13.17643683525252,4.25347445447735
9,0.009203493595123291,0.003193456383812427,0.006105542182922363,0.0014856491416445254,0.1,1.0,100000,random,"{'elasticnet__alpha': 0.1, 'elasticnet__l1_ratio': 1.0, 'elasticnet__max_iter': 100000, 'elasticnet__selection': 'random'}",-6.045345548589414,-5.26714497272955,-6.179973693422336,-36.667158489966155,-13.539905676176865,13.357071373117531,12,-15.51793071127138,-15.838760323468254,-15.536608203856693,-5.812536069956872,-13.1764588271383,4.253469269187952
