,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_lasso__alpha,param_lasso__max_iter,param_lasso__selection,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,mean_train_score,std_train_score
0,0.018743157386779785,0.00746344475166742,0.006996214389801025,0.003386739333280117,0.1,100000,cyclic,"{'lasso__alpha': 0.1, 'lasso__max_iter': 100000, 'lasso__selection': 'cyclic'}",-6.045335386413939,-5.2671450951980265,-6.1799444976130715,-36.667167653689724,-13.53989815822869,13.357080768123012,1,-15.517907811965339,-15.838760130916159,-15.536573713446034,-5.81250568468255,-13.17643683525252,4.25347445447735
1,0.04815328121185303,0.021103315009304627,0.00782245397567749,0.002519069698866701,0.1,100000,random,"{'lasso__alpha': 0.1, 'lasso__max_iter': 100000, 'lasso__selection': 'random'}",-6.045345548589414,-5.26714497272955,-6.179973693422336,-36.667158489966155,-13.539905676176865,13.357071373117531,2,-15.51793071127138,-15.838760323468254,-15.536608203856693,-5.812536069956872,-13.1764588271383,4.253469269187952
2,0.014756321907043457,0.006052251109367051,0.006923258304595947,0.002911313646394844,0.2782559402207124,100000,cyclic,"{'lasso__alpha': 0.2782559402207124, 'lasso__max_iter': 100000, 'lasso__selection': 'cyclic'}",-6.558805283407081,-5.796363248046196,-6.604972511411659,-36.84013728146062,-13.95006958108139,13.21948717967407,4,-16.330477438416533,-16.593715716227305,-16.298533713831684,-6.269059250814393,-13.872946529822478,4.391600450618083
3,0.008281171321868896,0.0024148974670610054,0.0027633309364318848,0.000913660659372243,0.2782559402207124,100000,random,"{'lasso__alpha': 0.2782559402207124, 'lasso__max_iter': 100000, 'lasso__selection': 'random'}",-6.558805283407081,-5.796363248046196,-6.604972511411659,-36.84007898003675,-13.950055005725421,13.219461941865665,3,-16.330477438416533,-16.593715716227305,-16.298533713831684,-6.268942107985318,-13.872917244115209,4.391651157694088
4,0.008002996444702148,0.003932686804471523,0.004232347011566162,0.002643513194585297,0.774263682681127,100000,cyclic,"{'lasso__alpha': 0.774263682681127, 'lasso__max_iter': 100000, 'lasso__selection': 'cyclic'}",-6.696451602032016,-5.948028272911407,-6.707695312995397,-37.02363164936688,-14.093951709326424,13.242036117742531,5,-16.48721692331361,-16.7360601808284,-16.496754009230767,-6.417295659047526,-14.034331693105077,4.398827809230429
5,0.005691945552825928,0.0016694941110331405,0.0022942423820495605,0.00026309910835901527,0.774263682681127,100000,random,"{'lasso__alpha': 0.774263682681127, 'lasso__max_iter': 100000, 'lasso__selection': 'random'}",-6.696451602032016,-5.948028272911407,-6.707695312995397,-37.02363164936688,-14.093951709326424,13.242036117742531,5,-16.48721692331361,-16.7360601808284,-16.496754009230767,-6.417295659047526,-14.034331693105077,4.398827809230429
6,0.004843175411224365,0.0009598378649984886,0.0024085640907287598,0.00038751730948095647,2.1544346900318834,100000,cyclic,"{'lasso__alpha': 2.1544346900318834, 'lasso__max_iter': 100000, 'lasso__selection': 'cyclic'}",-6.696451602032016,-5.948028272911407,-6.707695312995397,-37.02363164936688,-14.093951709326424,13.242036117742531,5,-16.48721692331361,-16.7360601808284,-16.496754009230767,-6.417295659047526,-14.034331693105077,4.398827809230429
7,0.008031249046325684,0.0041761624146187575,0.0020713210105895996,0.00023963993134654718,2.1544346900318834,100000,random,"{'lasso__alpha': 2.1544346900318834, 'lasso__max_iter': 100000, 'lasso__selection': 'random'}",-6.696451602032016,-5.948028272911407,-6.707695312995397,-37.02363164936688,-14.093951709326424,13.242036117742531,5,-16.48721692331361,-16.7360601808284,-16.496754009230767,-6.417295659047526,-14.034331693105077,4.398827809230429
8,0.005573093891143799,0.0017204056636977948,0.002131938934326172,0.000196037782864051,5.994842503189409,100000,cyclic,"{'lasso__alpha': 5.994842503189409, 'lasso__max_iter': 100000, 'lasso__selection': 'cyclic'}",-6.696451602032016,-5.948028272911407,-6.707695312995397,-37.02363164936688,-14.093951709326424,13.242036117742531,5,-16.48721692331361,-16.7360601808284,-16.496754009230767,-6.417295659047526,-14.034331693105077,4.398827809230429
9,0.008368253707885742,0.001067030397809974,0.004804015159606934,0.0026462037468346386,5.994842503189409,100000,random,"{'lasso__alpha': 5.994842503189409, 'lasso__max_iter': 100000, 'lasso__selection': 'random'}",-6.696451602032016,-5.948028272911407,-6.707695312995397,-37.02363164936688,-14.093951709326424,13.242036117742531,5,-16.48721692331361,-16.7360601808284,-16.496754009230767,-6.417295659047526,-14.034331693105077,4.398827809230429
10,0.006821990013122559,0.00217360767651495,0.004018068313598633,0.0010382149258134099,16.68100537200059,100000,cyclic,"{'lasso__alpha': 16.68100537200059, 'lasso__max_iter': 100000, 'lasso__selection': 'cyclic'}",-6.696451602032016,-5.948028272911407,-6.707695312995397,-37.02363164936688,-14.093951709326424,13.242036117742531,5,-16.48721692331361,-16.7360601808284,-16.496754009230767,-6.417295659047526,-14.034331693105077,4.398827809230429
11,0.0071912407875061035,0.003219428001170471,0.004251301288604736,0.001920536607613674,16.68100537200059,100000,random,"{'lasso__alpha': 16.68100537200059, 'lasso__max_iter': 100000, 'lasso__selection': 'random'}",-6.696451602032016,-5.948028272911407,-6.707695312995397,-37.02363164936688,-14.093951709326424,13.242036117742531,5,-16.48721692331361,-16.7360601808284,-16.496754009230767,-6.417295659047526,-14.034331693105077,4.398827809230429
