,mean_fit_time,std_fit_time,mean_score_time,std_score_time,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,mean_train_score,std_train_score
0,0.011451542377471924,0.002418422654639556,0.0042296648025512695,0.0014002432200424346,{},-1.0688930717156367e+22,-1.0653924146111652e+19,-1.0167230857146247e+21,-7.564894368821639e+21,-4.820300523959686e+21,4.4601994759645833e+21,1,-13.593722788117041,-13.808177189585283,-13.73284041246385,-4.3719305438204294,-11.37666773349665,4.044918544909491
0,0.008236289024353027,0.0016730368060807012,0.0028818249702453613,0.0008365983494456496,{},-1.6250914347392535e+23,-5.991838290416222e+23,-5.883309309457501e+19,-3.568239369102256e+23,-2.796439356297169e+23,2.2357934004126212e+23,1,-4.424113866342398,-14.517385453688403,-14.51543517514273,-14.18658454590606,-11.910879760269896,4.324583120394665
0,0.006682217121124268,0.0010712489732306277,0.0020183324813842773,4.561262723051281e-05,{},-8.381813901264529e+24,-4.463231986216268e+22,-4.131570591940258e+23,-3.0506507493665097e+22,-2.2175274469535957e+24,3.5622574938512927e+24,1,-5.249426153955056,-4.25109665238131,-4.67662688641827,-5.025375531484015,-4.800631306059663,0.3772572776113892
0,0.00682520866394043,0.0017583624385354387,0.002571582794189453,0.00041117967729252427,{},-4.116649507957029e+23,-5.3794523582749383e+23,-4.972911225767154e+23,-2.7449860611266807e+22,-3.6858779245279474e+23,2.0216158198543578e+23,1,-5.090738887380601,-4.789781001089243,-5.3682597440872195,-5.40809683108469,-5.164219115910439,0.24835064109089638
0,0.00636214017868042,0.0010497570359352198,0.002366304397583008,0.0005144151164452059,{},-9.040113367429455e+23,-5.8526368103316655e+23,-1.431531463141528e+24,-37.13101082175927,-7.3020162022941e+23,5.1871831915736335e+23,1,-14.16040167487981,-13.81948671495643,-14.039451539663462,-4.798097055011521,-11.704359246127805,3.9892048735617522
0,0.005315244197845459,6.30156981467266e-05,0.0019817352294921875,3.297812473980911e-05,{},-1.918511844028799e+23,-2.833528901522179e+25,-8.780322521026053e+22,-3.599954438965089e+22,-7.162735742306145e+24,1.2224108173709639e+25,1,-14.096375901789738,-13.410648103365386,-14.648602538461542,-4.750503726388489,-11.726532567501287,4.05141561291962
0,0.005316317081451416,7.240163712684286e-05,0.0018939375877380371,1.993496925999499e-05,{},-9.601680082228556e+22,-2.0457988614581477e+24,-1.0825009401659495e+23,-3.996550786623082e+21,-5.6351557677091276e+23,8.56744863101404e+23,1,-4.901340819711539,-5.419796975348841,-5.2204441002103374,-4.509690605658138,-5.012818125232213,0.34434895837172946
0,0.005210757255554199,0.00014547455954373248,0.001892387866973877,0.0001278365399321321,{},-4.205459190313414e+22,-1.328119190062567e+22,-1.7565938225773133e+26,-1.1168942527336514e+23,-4.395660186670211e+25,7.6038644129158454e+25,1,-14.828511080028827,-4.395268700460581,-14.26919105198317,-13.829204261841314,-11.830543773578473,4.307341630265911
0,0.005011260509490967,0.0001147855317284295,0.0018514394760131836,6.3367446841278e-05,{},-3.2857981195016657e+22,-1.0454012283419426e+22,-2.393436269901927e+23,-1.7507995823819755e+20,-7.0707675106716745e+22,9.807654467157042e+22,1,-14.757163733048662,-14.178972510338415,-13.578185339913588,-4.721215613784438,-11.808884299271275,4.113245170042835
0,0.005713522434234619,0.0004334269237312723,0.002321302890777588,0.0002491826264696908,{},-3.2857981195016657e+22,-1.0454012283419426e+22,-2.393436269901927e+23,-1.7507995823819755e+20,-7.0707675106716745e+22,9.807654467157042e+22,1,-14.757163733048662,-14.178972510338415,-13.578185339913588,-4.721215613784438,-11.808884299271275,4.113245170042835
