,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_ridge__alpha,param_ridge__max_iter,param_ridge__solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,mean_train_score,std_train_score
0,0.10892170667648315,0.0390102829336288,0.004240214824676514,0.003537589251438617,1.0,100000,saga,"{'ridge__alpha': 1.0, 'ridge__max_iter': 100000, 'ridge__solver': 'saga'}",-38.41350136387429,-54.75054458291668,-6.048572007946876,-6.492328290444363,-26.42623656129555,20.967658750742338,3,-4.538199307467841,-14.590818434624502,-14.704123769312343,-14.489477311214923,-12.080654705654904,4.355300553719006
1,0.1125139594078064,0.04249521610090367,0.0032604336738586426,0.00106870451087052,2.154434690031884,100000,saga,"{'ridge__alpha': 2.154434690031884, 'ridge__max_iter': 100000, 'ridge__solver': 'saga'}",-38.455708737068335,-59.550676576437745,-6.003747120245942,-6.193194294082303,-27.550831681958584,22.711956899172016,4,-4.581212070335552,-14.660192510542576,-14.763004336291633,-14.58555720633098,-12.147491530875186,4.36884774744264
2,0.08811396360397339,0.048735964163992125,0.0044890642166137695,0.0027042554710632032,4.641588833612778,100000,saga,"{'ridge__alpha': 4.641588833612778, 'ridge__max_iter': 100000, 'ridge__solver': 'saga'}",-38.569358651019115,-66.67853145144038,-5.952453783598101,-5.7857944775733205,-29.24653459090773,25.402214296915176,5,-4.651864945124295,-14.772947690056288,-14.870459438534418,-14.758007568363723,-12.26331991051968,4.394687739498685
3,0.09499287605285645,0.047386071052779366,0.006531655788421631,0.0030453148241987873,10.0,100000,saga,"{'ridge__alpha': 10.0, 'ridge__max_iter': 100000, 'ridge__solver': 'saga'}",-38.79874585771895,-76.52449473309127,-5.919486266314264,-5.334969714686476,-31.644424142952744,29.23766781244753,7,-4.755729501894587,-14.96582850419699,-15.04263117158819,-15.044483055981777,-12.452168058415387,4.443654224799211
4,0.057686448097229004,0.027311425429032737,0.005924403667449951,0.0018695265485103305,21.544346900318832,100000,saga,"{'ridge__alpha': 21.544346900318832, 'ridge__max_iter': 100000, 'ridge__solver': 'saga'}",-39.146205827259145,-86.76226285576885,-5.9485818336549725,-4.979668636647234,-34.20917978833255,33.31376023854228,8,-4.89521719677601,-15.285778909514347,-15.31776539254356,-15.45369687974009,-12.738114594643502,4.5285378004655055
5,0.04569453001022339,0.01984177407447017,0.005983412265777588,0.0033999755740782606,46.41588833612777,100000,saga,"{'ridge__alpha': 46.41588833612777, 'ridge__max_iter': 100000, 'ridge__solver': 'saga'}",-39.54733521333479,-91.89334818043947,-6.0672506339706915,-4.8142463625250045,-35.580545097567494,35.37112842001834,10,-5.068302090277851,-15.732629885913985,-15.691995207104247,-15.961791766017168,-13.113679737328312,4.646139638293392
6,0.02374166250228882,0.006178801055098187,0.005079984664916992,0.0030103525947403863,100.0,100000,saga,"{'ridge__alpha': 100.0, 'ridge__max_iter': 100000, 'ridge__solver': 'saga'}",-39.91545620419102,-86.14445020759402,-6.2538321898077625,-4.833751575717213,-34.2868725443275,33.06896959926149,9,-5.2662064559505595,-16.230685068090963,-16.10709052541647,-16.489916377851234,-13.523474606827307,4.769337317508633
7,0.02308875322341919,0.007302770374438436,0.00583040714263916,0.00257971712309102,215.44346900318823,100000,saga,"{'ridge__alpha': 215.44346900318823, 'ridge__max_iter': 100000, 'ridge__solver': 'saga'}",-40.20641983302776,-68.13434742926866,-6.4606364934797,-4.963132557816211,-29.941134078398083,26.16931392149434,6,-5.474161146792851,-16.679661955526615,-16.49046316779649,-16.941077052730947,-13.896340830711726,4.86517924832926
8,0.01451176404953003,0.0052961761135313975,0.006286501884460449,0.0026827944884804875,464.15888336127773,100000,saga,"{'ridge__alpha': 464.15888336127773, 'ridge__max_iter': 100000, 'ridge__solver': 'saga'}",-40.443542690524545,-44.07033980083183,-6.652717082472838,-5.12462600056073,-24.072806393597485,18.23729284386529,2,-5.678239050012265,-17.04311556688441,-16.804006915708793,-17.288521231893945,-14.203470691124854,4.925024950432427
9,0.01458895206451416,0.005273667642625831,0.0033684372901916504,0.0005710644931005669,1000.0,100000,saga,"{'ridge__alpha': 1000.0, 'ridge__max_iter': 100000, 'ridge__solver': 'saga'}",-40.64451065670339,-23.572665198579372,-6.818237847687984,-5.275310704165787,-19.077681101784133,14.37125948355637,1,-5.858306107018598,-17.33193361726416,-17.04965244617733,-17.548429469259244,-14.447080409929832,4.961883947803404
0,0.11408919095993042,0.015341555966757538,0.0030440092086791992,0.0006724007876135981,1.0,100000,saga,"{'ridge__alpha': 1.0, 'ridge__max_iter': 100000, 'ridge__solver': 'saga'}",-4.07367363163565,-7.610375618968391,-6.167265866613574,-5.341720288053314,-5.798258851317732,1.2847718665809555,3,-5.451112780549419,-4.4113351653303985,-4.839211697539809,-5.156647844326772,-4.9645768719366,0.3858112432539673
1,0.11430376768112183,0.0109412777112022,0.0020915865898132324,2.2579620942425572e-05,2.154434690031884,100000,saga,"{'ridge__alpha': 2.154434690031884, 'ridge__max_iter': 100000, 'ridge__solver': 'saga'}",-3.994415976065659,-7.610501264241165,-6.186640545164502,-5.355061574897929,-5.786654840092314,1.3119448573998214,1,-5.5242126306859065,-4.463055892741586,-4.907501893673513,-5.22400862497487,-5.029694760518968,0.3931655201750835
2,0.08571106195449829,0.020815629961920677,0.004226028919219971,0.0020507275614265372,4.641588833612778,100000,saga,"{'ridge__alpha': 4.641588833612778, 'ridge__max_iter': 100000, 'ridge__solver': 'saga'}",-3.9256843829484076,-7.626665128485411,-6.230063360538288,-5.402980928791606,-5.796348450190928,1.3409222410028798,2,-5.658639749061473,-4.563479530558245,-5.0169726790855105,-5.332233085239782,-5.142831260986252,0.4041720727576938
