,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_svr__C,param_svr__gamma,param_svr__kernel,param_svr__max_iter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,mean_train_score,std_train_score
0,0.03406757116317749,0.007786321818683302,0.00881737470626831,0.0013780558539773433,0.01,scale,linear,500000,"{'svr__C': 0.01, 'svr__gamma': 'scale', 'svr__kernel': 'linear', 'svr__max_iter': 500000}",-6.432828494121656,-5.554539472972956,-6.034297832005473,-36.757756493155085,-13.694855573063792,13.319002658408055,35,-16.075976731447653,-16.395986110020594,-16.158897653376368,-5.896095525359903,-13.631739005051129,4.467719524521614
1,0.034798264503479004,0.009184246674850955,0.008869469165802002,0.0011142762399494017,0.01,scale,poly,500000,"{'svr__C': 0.01, 'svr__gamma': 'scale', 'svr__kernel': 'poly', 'svr__max_iter': 500000}",-6.791340878885674,-6.40189634873669,-6.4113718249066105,-37.17370456958411,-14.194578405528272,13.267934687191888,65,-16.462128809312873,-16.77946813575688,-16.54405470215086,-6.33333869544218,-14.029747585665698,4.445050382230347
2,0.036252617835998535,0.0020903561846364123,0.02685171365737915,0.012435696384569848,0.01,scale,rbf,500000,"{'svr__C': 0.01, 'svr__gamma': 'scale', 'svr__kernel': 'rbf', 'svr__max_iter': 500000}",-6.749821594803574,-5.945716696334854,-6.37736644162486,-37.153672793398776,-14.056644381540515,13.338111169577918,56,-16.450601824377713,-16.762633298603344,-16.52210327351322,-6.307670139702412,-14.010752134049174,4.448878319659376
3,0.033207595348358154,0.002905689590782963,0.011664211750030518,0.0010725764440882247,0.01,scale,sigmoid,500000,"{'svr__C': 0.01, 'svr__gamma': 'scale', 'svr__kernel': 'sigmoid', 'svr__max_iter': 500000}",-6.731415927658165,-5.943070489096746,-6.351710499082097,-37.129942212841215,-14.039034782169555,13.334456229658505,54,-16.441888958974552,-16.75862901407395,-16.49686656433161,-6.290550086681713,-13.996983656015457,4.4509206895306725
4,0.02546548843383789,0.005485516199513087,0.009094715118408203,0.0031827327560025355,0.01,auto,linear,500000,"{'svr__C': 0.01, 'svr__gamma': 'auto', 'svr__kernel': 'linear', 'svr__max_iter': 500000}",-6.432828494121656,-5.554539472972956,-6.034297832005473,-36.757756493155085,-13.694855573063792,13.319002658408055,35,-16.075976731447653,-16.395986110020594,-16.158897653376368,-5.896095525359903,-13.631739005051129,4.467719524521614
5,0.02721250057220459,0.0029399577147320353,0.009347736835479736,0.0026285225696961053,0.01,auto,poly,500000,"{'svr__C': 0.01, 'svr__gamma': 'auto', 'svr__kernel': 'poly', 'svr__max_iter': 500000}",-6.946898838224688,-6.51212972804824,-6.536787667098893,-37.315170855590274,-14.327746772240523,13.272918817768497,75,-16.63958233580103,-16.919585400416093,-16.68499814025961,-6.504199441716475,-14.1870913295483,4.436992285833619
6,0.030703306198120117,0.0060422242437773955,0.01689600944519043,0.0034035014805374607,0.01,auto,rbf,500000,"{'svr__C': 0.01, 'svr__gamma': 'auto', 'svr__kernel': 'rbf', 'svr__max_iter': 500000}",-6.883390557173849,-6.075478743237,-6.491610414216499,-37.26053963799434,-14.177754838155423,13.329913713179733,63,-16.58656485939404,-16.886797109981426,-16.64226317235068,-6.453113037953167,-14.142184544919829,4.440723675164504
7,0.03231078386306763,0.003516886015237667,0.007482469081878662,0.0026070896673498537,0.01,auto,sigmoid,500000,"{'svr__C': 0.01, 'svr__gamma': 'auto', 'svr__kernel': 'sigmoid', 'svr__max_iter': 500000}",-6.915485804758635,-6.0998873435421785,-6.510844140274815,-37.28354939643065,-14.20244167125157,13.329003327645573,66,-16.61643103583276,-16.907422510924203,-16.66374378335251,-6.477823016574139,-14.166355086670904,4.440349042479191
8,0.025004267692565918,0.0047314141147464205,0.011441290378570557,0.0022926979438019726,0.01,0.01,linear,500000,"{'svr__C': 0.01, 'svr__gamma': 0.01, 'svr__kernel': 'linear', 'svr__max_iter': 500000}",-6.432828494121656,-5.554539472972956,-6.034297832005473,-36.757756493155085,-13.694855573063792,13.319002658408055,35,-16.075976731447653,-16.395986110020594,-16.158897653376368,-5.896095525359903,-13.631739005051129,4.467719524521614
9,0.024972498416900635,0.004555768883258845,0.0062427520751953125,0.0012331446718607246,0.01,0.01,poly,500000,"{'svr__C': 0.01, 'svr__gamma': 0.01, 'svr__kernel': 'poly', 'svr__max_iter': 500000}",-6.9468978008268785,-6.5120602174132864,-6.536855032717973,-37.316040042583126,-14.327963273385315,13.273295646286135,76,-16.642543761332618,-16.919566878231493,-16.687584145432165,-6.506042580567961,-14.188934341391061,4.4369648941769775
10,0.030966758728027344,0.0011378807003970554,0.019513845443725586,0.0013743048723558527,0.01,0.01,rbf,500000,"{'svr__C': 0.01, 'svr__gamma': 0.01, 'svr__kernel': 'rbf', 'svr__max_iter': 500000}",-6.904095876209694,-6.0916813576178654,-6.504331300929245,-37.27366840574108,-14.19344423512447,13.32846921725898,64,-16.605674664829603,-16.901829639310375,-16.656391566720952,-6.46811795360277,-14.158003456115924,4.441169853274131
11,0.030149221420288086,0.002438522913086268,0.006192922592163086,0.0007557084467032442,0.01,0.01,sigmoid,500000,"{'svr__C': 0.01, 'svr__gamma': 0.01, 'svr__kernel': 'sigmoid', 'svr__max_iter': 500000}",-6.925135632880854,-6.105566767755379,-6.518817641445717,-37.29677194712723,-14.211572997302296,13.33139529435262,67,-16.625944807044487,-16.912554386650964,-16.672474641418994,-6.489600501096685,-14.175143584052783,4.438583091113058
12,0.02407658100128174,0.0017242083709835946,0.008188903331756592,0.0026704471637342296,0.01,0.1,linear,500000,"{'svr__C': 0.01, 'svr__gamma': 0.1, 'svr__kernel': 'linear', 'svr__max_iter': 500000}",-6.432828494121656,-5.554539472972956,-6.034297832005473,-36.757756493155085,-13.694855573063792,13.319002658408055,35,-16.075976731447653,-16.395986110020594,-16.158897653376368,-5.896095525359903,-13.631739005051129,4.467719524521614
13,0.027868807315826416,0.002562881768500811,0.00837397575378418,0.003178105346228212,0.01,0.1,poly,500000,"{'svr__C': 0.01, 'svr__gamma': 0.1, 'svr__kernel': 'poly', 'svr__max_iter': 500000}",-6.9208339130384875,-6.490940948792355,-6.506585522047736,-37.281784818737336,-14.300036300653979,13.269638635611388,70,-16.602248434914994,-16.89253091034684,-16.64832177451008,-6.462753455673946,-14.151463643861465,4.440449322252804
14,0.02917313575744629,0.003113876310134308,0.020003914833068848,0.0005511463175444727,0.01,0.1,rbf,500000,"{'svr__C': 0.01, 'svr__gamma': 0.1, 'svr__kernel': 'rbf', 'svr__max_iter': 500000}",-6.769838795013824,-5.957279418337012,-6.394371879954773,-37.162435175834574,-14.070981317285046,13.334957952599064,57,-16.473835163267772,-16.778285253442952,-16.54002309098801,-6.328299797007173,-14.030110826176479,4.448083970218498
15,0.03230750560760498,0.0023090732454329028,0.009747684001922607,0.0005126375465962415,0.01,0.1,sigmoid,500000,"{'svr__C': 0.01, 'svr__gamma': 0.1, 'svr__kernel': 'sigmoid', 'svr__max_iter': 500000}",-6.77229596753938,-5.9972525365993254,-6.404906698211748,-37.17045273362967,-14.086226983995031,13.33050312551043,59,-16.480336583280042,-16.80853479809564,-16.55545580946959,-6.3460517486864365,-14.047594734882928,4.448150021954491
16,0.02511763572692871,0.005662627952409038,0.006683707237243652,0.0021007021667295137,0.01,1,linear,500000,"{'svr__C': 0.01, 'svr__gamma': 1, 'svr__kernel': 'linear', 'svr__max_iter': 500000}",-6.432828494121656,-5.554539472972956,-6.034297832005473,-36.757756493155085,-13.694855573063792,13.319002658408055,35,-16.075976731447653,-16.395986110020594,-16.158897653376368,-5.896095525359903,-13.631739005051129,4.467719524521614
17,0.03517073392868042,0.0016161312320676503,0.005508244037628174,6.775417567885414e-05,0.01,1,poly,500000,"{'svr__C': 0.01, 'svr__gamma': 1, 'svr__kernel': 'poly', 'svr__max_iter': 500000}",-5.784680177304124,-10.423627275915699,-5.0333274906556085,-36.4581518263364,-14.424946692552957,12.887294151889648,79,-14.561998533578777,-14.58606835469905,-14.749767391202122,-4.367748452536986,-12.066395683004233,4.445403155615342
18,0.02943718433380127,0.0031263581344383056,0.02048039436340332,0.0007471669867501238,0.01,1,rbf,500000,"{'svr__C': 0.01, 'svr__gamma': 1, 'svr__kernel': 'rbf', 'svr__max_iter': 500000}",-6.838290399779553,-6.031335679548542,-6.425143287862615,-37.22470961263474,-14.129869744956363,13.33686452701615,62,-16.51983725125343,-16.808875923997416,-16.578289790703028,-6.366197707022863,-14.068300168244185,4.448123755315113
19,0.0370754599571228,0.006600941621975945,0.00962376594543457,0.002390417198986793,0.01,1,sigmoid,500000,"{'svr__C': 0.01, 'svr__gamma': 1, 'svr__kernel': 'sigmoid', 'svr__max_iter': 500000}",-6.700636574800801,-5.922880719283672,-6.321546278965011,-37.0868906618949,-14.007988558736095,13.327447983392567,52,-16.452389124631804,-16.7494941763039,-16.483571358664715,-6.279929547422167,-13.991346051755649,4.453685147358464
20,0.026157677173614502,0.003281018213012397,0.006848573684692383,0.002451876967266399,0.1,scale,linear,500000,"{'svr__C': 0.1, 'svr__gamma': 'scale', 'svr__kernel': 'linear', 'svr__max_iter': 500000}",-6.071085380983336,-5.046497918118171,-5.514778458501887,-36.15010141039529,-13.195615791999671,13.257740454624008,24,-15.365885381872957,-15.743746518033372,-15.540031179836895,-5.350151553564838,-12.999953658327014,4.418639446559322
21,0.027738511562347412,0.003816823398046902,0.008305549621582031,0.002924206511515357,0.1,scale,poly,500000,"{'svr__C': 0.1, 'svr__gamma': 'scale', 'svr__kernel': 'poly', 'svr__max_iter': 500000}",-6.422584555350662,-6.419338524566649,-6.0138577046853126,-36.785277456618864,-13.910264560305372,13.207940613183219,49,-15.960571693008049,-16.25240745361298,-16.077765842028853,-5.772753140259311,-13.515874532227299,4.47169913488559
22,0.028796076774597168,0.0012132895496701395,0.02057892084121704,0.0006424803958966116,0.1,scale,rbf,500000,"{'svr__C': 0.1, 'svr__gamma': 'scale', 'svr__kernel': 'rbf', 'svr__max_iter': 500000}",-6.301510097370033,-5.429982285437939,-5.951908754744468,-36.6160593053395,-13.574865110722985,13.306454288305664,32,-15.86503329114366,-16.180130322910404,-16.015120119661717,-5.723676752460535,-13.445990121544078,4.459872341633453
23,0.030505776405334473,0.002889640705508794,0.012599527835845947,0.0037041728708413118,0.1,scale,sigmoid,500000,"{'svr__C': 0.1, 'svr__gamma': 'scale', 'svr__kernel': 'sigmoid', 'svr__max_iter': 500000}",-6.401037249407305,-5.818961902880564,-6.0192202470435365,-36.73053236066469,-13.742437939999023,13.273829639904527,41,-16.095561739267637,-16.40633475818847,-16.16645422177247,-5.8970200801126555,-13.641342699835308,4.472669594683804
24,0.026593923568725586,0.005361204981188659,0.008220493793487549,0.0029097318863939626,0.1,auto,linear,500000,"{'svr__C': 0.1, 'svr__gamma': 'auto', 'svr__kernel': 'linear', 'svr__max_iter': 500000}",-6.071085380983336,-5.046497918118171,-5.514778458501887,-36.15010141039529,-13.195615791999671,13.257740454624008,24,-15.365885381872957,-15.743746518033372,-15.540031179836895,-5.350151553564838,-12.999953658327014,4.418639446559322
25,0.024699807167053223,0.004863522768180465,0.007011830806732178,0.002233633383722496,0.1,auto,poly,500000,"{'svr__C': 0.1, 'svr__gamma': 'auto', 'svr__kernel': 'poly', 'svr__max_iter': 500000}",-6.946221622477177,-6.510387064204913,-6.535921450817272,-37.314449163279136,-14.326744825194623,13.273084145928262,73,-16.636154338003816,-16.918128224576378,-16.681452726973987,-6.503105376817957,-14.184710166593035,4.436268938093316
26,0.02732217311859131,0.005266805461489496,0.020222961902618408,0.0005499378257566999,0.1,auto,rbf,500000,"{'svr__C': 0.1, 'svr__gamma': 'auto', 'svr__kernel': 'rbf', 'svr__max_iter': 500000}",-6.656194170697691,-5.817509190401354,-6.282563449478039,-37.06328702033891,-13.954888457728998,13.344947871727921,50,-16.351376574017518,-16.65612627057377,-16.42778007402863,-6.199170511742404,-13.90861335759058,4.4524608161427635
27,0.02875727415084839,0.004265078739054951,0.009119987487792969,0.005768240766603965,0.1,auto,sigmoid,500000,"{'svr__C': 0.1, 'svr__gamma': 'auto', 'svr__kernel': 'sigmoid', 'svr__max_iter': 500000}",-6.733814412928435,-5.938052909617491,-6.356716345928904,-37.12888682493566,-14.039367623352623,13.333711368295894,55,-16.436638485692484,-16.751155951549105,-16.49814586512039,-6.290940286710272,-13.994220147268065,4.449052342336405
28,0.0316774845123291,0.004742898259182481,0.008540689945220947,0.0038428395863494206,0.1,0.01,linear,500000,"{'svr__C': 0.1, 'svr__gamma': 0.01, 'svr__kernel': 'linear', 'svr__max_iter': 500000}",-6.071085380983336,-5.046497918118171,-5.514778458501887,-36.15010141039529,-13.195615791999671,13.257740454624008,24,-15.365885381872957,-15.743746518033372,-15.540031179836895,-5.350151553564838,-12.999953658327014,4.418639446559322
29,0.02394580841064453,0.0029341628459806338,0.010423839092254639,0.00441647759194507,0.1,0.01,poly,500000,"{'svr__C': 0.1, 'svr__gamma': 0.01, 'svr__kernel': 'poly', 'svr__max_iter': 500000}",-6.945785827079874,-6.512366682234699,-6.536556543643666,-37.31498966463422,-14.327424679398113,13.272994141340613,74,-16.637296528980873,-16.91964884980329,-16.68361101836073,-6.5039225146354545,-14.186119727945087,4.436610923325009
30,0.021772921085357666,0.0024619533339471427,0.022367358207702637,0.004482609326635716,0.1,0.01,rbf,500000,"{'svr__C': 0.1, 'svr__gamma': 0.01, 'svr__kernel': 'rbf', 'svr__max_iter': 500000}",-6.706278019361966,-5.889540683583106,-6.328694367204666,-37.10509950923214,-14.007403144845469,13.338593112385938,51,-16.404069940466478,-16.724423936731256,-16.470308852569946,-6.250137058420429,-13.962234947047028,4.454187207256346
