,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_kneighborsregressor__n_neighbors,param_kneighborsregressor__p,param_kneighborsregressor__weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,mean_train_score,std_train_score
0,0.008293986320495605,0.0037991412814016175,0.06278926134109497,0.005358097011709029,1,1,uniform,"{'kneighborsregressor__n_neighbors': 1, 'kneighborsregressor__p': 1, 'kneighborsregressor__weights': 'uniform'}",-9.73230737327189,-8.142997695852536,-8.871495852534563,-43.736653703703695,-17.62086365634067,15.088449142973145,77,-1.7019386153846157,-1.017617230769231,-1.9094346153846156,-2.00826267281106,-1.6593132835873807,0.3866254970810963
1,0.010853767395019531,0.0028139641136505377,0.054087162017822266,0.01215743322707198,1,1,distance,"{'kneighborsregressor__n_neighbors': 1, 'kneighborsregressor__p': 1, 'kneighborsregressor__weights': 'distance'}",-9.73230737327189,-8.142997695852538,-8.871495852534562,-43.736653703703695,-17.62086365634067,15.088449142973145,77,-1.7019386153846157,-1.017617230769231,-1.9094346153846156,-2.00826267281106,-1.6593132835873807,0.3866254970810963
2,0.010731697082519531,0.00394524170526545,0.0069277286529541016,0.0014198716473644405,1,2,uniform,"{'kneighborsregressor__n_neighbors': 1, 'kneighborsregressor__p': 2, 'kneighborsregressor__weights': 'uniform'}",-9.781238709677421,-8.229555760368665,-8.829795852534563,-43.826757870370365,-17.666837048237753,15.113567528699768,79,-1.7019386153846157,-1.017617230769231,-1.9094346153846156,-2.00826267281106,-1.6593132835873807,0.3866254970810963
3,0.008461833000183105,0.0034897452988847913,0.003629744052886963,0.0006625894754282011,1,2,distance,"{'kneighborsregressor__n_neighbors': 1, 'kneighborsregressor__p': 2, 'kneighborsregressor__weights': 'distance'}",-9.78123870967742,-8.229555760368667,-8.829795852534563,-43.826757870370365,-17.666837048237753,15.113567528699768,79,-1.7019386153846157,-1.017617230769231,-1.9094346153846156,-2.00826267281106,-1.6593132835873807,0.3866254970810963
4,0.004504024982452393,0.0008102933720304055,0.012069523334503174,0.0033667789387982054,3,1,uniform,"{'kneighborsregressor__n_neighbors': 3, 'kneighborsregressor__p': 1, 'kneighborsregressor__weights': 'uniform'}",-6.649145878136201,-9.477702150537642,-6.086454429083458,-37.0346471707819,-14.8119874071348,12.894457275784966,75,-10.528158273504273,-9.308552136752137,-10.555969794871794,-3.3482959720088754,-8.43524404428427,2.9798269830005566
5,0.008984386920928955,0.0017753571574041403,0.008406102657318115,6.730362131438795e-05,3,1,distance,"{'kneighborsregressor__n_neighbors': 3, 'kneighborsregressor__p': 1, 'kneighborsregressor__weights': 'distance'}",-7.248942969539952,-6.235146069494889,-6.756362012984935,-38.63748198058898,-14.71948325815219,13.813715218817256,74,-0.6221201623931627,-0.5359714102564105,-0.6374120256410258,-0.6583933179723499,-0.6134742290657372,0.0465622748036801
6,0.01106172800064087,0.003526854171756749,0.005316972732543945,0.0027378909047928992,3,2,uniform,"{'kneighborsregressor__n_neighbors': 3, 'kneighborsregressor__p': 2, 'kneighborsregressor__weights': 'uniform'}",-6.638267793138762,-9.505909677419359,-6.098363082437274,-37.04983919753087,-14.823094937631566,12.897799820285753,76,-10.576497042735042,-9.270572256410256,-10.549367470085471,-3.3463230756101723,-8.435689961210235,2.9853547241036837
7,0.006882727146148682,0.002004676788412725,0.0028957724571228027,4.3284423550323945e-05,3,2,distance,"{'kneighborsregressor__n_neighbors': 3, 'kneighborsregressor__p': 2, 'kneighborsregressor__weights': 'distance'}",-7.243131619914086,-6.2276203511391,-6.712611193664178,-38.32443866908273,-14.626950458450024,13.686464484876153,73,-0.6221201623931627,-0.5359714102564105,-0.6374120256410258,-0.6583933179723499,-0.6134742290657372,0.0465622748036801
8,0.007196903228759766,0.0022228092678395236,0.011456847190856934,0.0019045951347114432,6,1,uniform,"{'kneighborsregressor__n_neighbors': 6, 'kneighborsregressor__p': 1, 'kneighborsregressor__weights': 'uniform'}",-6.4267218894009215,-5.944796185355864,-5.571818586789557,-35.997991885288066,-13.485332136708603,13.001223083974661,33,-12.297804658119661,-11.719154905982904,-12.387666371794873,-3.998077726574502,-10.100675915617984,3.532664679704989
9,0.007126212120056152,0.0021637408871320483,0.012946128845214844,0.004864076767441838,6,1,distance,"{'kneighborsregressor__n_neighbors': 6, 'kneighborsregressor__p': 1, 'kneighborsregressor__weights': 'distance'}",-7.396792299517489,-5.788588614156919,-6.243130663744014,-37.474491982820275,-14.225750890059675,13.435462131771423,72,-0.4637841581196582,-0.5172382615384616,-0.6479476717948719,-0.627189008363202,-0.5640397749540484,0.07627242489466206
10,0.004776597023010254,0.0015689269739100405,0.004233300685882568,0.0018085163437871954,6,2,uniform,"{'kneighborsregressor__n_neighbors': 6, 'kneighborsregressor__p': 2, 'kneighborsregressor__weights': 'uniform'}",-6.54686008704557,-5.960802905785973,-5.5713473630312365,-35.984350038580246,-13.515840098610756,12.97684643061195,34,-12.338598294871797,-11.735914188034185,-12.419760679487181,-4.028728750640042,-10.130750478258301,3.5328946836185784
11,0.00579380989074707,0.0016213186244416718,0.004913806915283203,0.002727654598442095,6,2,distance,"{'kneighborsregressor__n_neighbors': 6, 'kneighborsregressor__p': 2, 'kneighborsregressor__weights': 'distance'}",-7.507208353890527,-5.758697691292648,-6.237077871165776,-37.092605755761376,-14.148897418027582,13.261958055923346,71,-0.4637841581196582,-0.5172382615384616,-0.6479476717948719,-0.6271890083632021,-0.5640397749540484,0.07627242489466207
