,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_elasticnet__alpha,param_elasticnet__l1_ratio,param_elasticnet__max_iter,param_elasticnet__selection,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,mean_train_score,std_train_score
71,4.91182017326355,0.12691356724355676,0.005247533321380615,0.0015337244114672212,129.15496650148827,0.0,100000,random,"{'elasticnet__alpha': 129.15496650148827, 'elasticnet__l1_ratio': 0.0, 'elasticnet__max_iter': 100000, 'elasticnet__selection': 'random'}",-8.020059376298516,-5.460385424616114,-6.380026592572973,-9.801638092897848,-7.415527371596362,1.6548281795415245,35,-7.205650712180243,-8.057493121384814,-7.7512906465704035,-6.61347385176967,-7.406977082976282,0.5504322464697295
72,0.007824540138244629,0.002787932291582689,0.0017085671424865723,8.611208679362209e-05,129.15496650148827,0.25,100000,cyclic,"{'elasticnet__alpha': 129.15496650148827, 'elasticnet__l1_ratio': 0.25, 'elasticnet__max_iter': 100000, 'elasticnet__selection': 'cyclic'}",-8.027573482865325,-5.466964080230143,-6.387312351705069,-9.809330914899395,-7.422795207424983,1.6552046390166602,41,-7.213458346982248,-8.065927462485208,-7.759004578461538,-6.620954064761527,-7.414836113172631,0.5507207979444376
73,0.006113827228546143,0.003082375802967627,0.0016352534294128418,6.955295088543147e-05,129.15496650148827,0.25,100000,random,"{'elasticnet__alpha': 129.15496650148827, 'elasticnet__l1_ratio': 0.25, 'elasticnet__max_iter': 100000, 'elasticnet__selection': 'random'}",-8.027573482865325,-5.466964080230143,-6.387312351705069,-9.809330914899395,-7.422795207424983,1.6552046390166602,41,-7.213458346982248,-8.065927462485208,-7.759004578461538,-6.620954064761527,-7.414836113172631,0.5507207979444376
74,0.010016679763793945,0.0022784514578830114,0.0017432570457458496,0.00011269425771410092,129.15496650148827,0.5,100000,cyclic,"{'elasticnet__alpha': 129.15496650148827, 'elasticnet__l1_ratio': 0.5, 'elasticnet__max_iter': 100000, 'elasticnet__selection': 'cyclic'}",-8.027573482865325,-5.466964080230143,-6.387312351705069,-9.809330914899395,-7.422795207424983,1.6552046390166602,41,-7.213458346982248,-8.065927462485208,-7.759004578461538,-6.620954064761527,-7.414836113172631,0.5507207979444376
75,0.0069193243980407715,0.0028751909125561146,0.002657949924468994,0.0014904405276505589,129.15496650148827,0.5,100000,random,"{'elasticnet__alpha': 129.15496650148827, 'elasticnet__l1_ratio': 0.5, 'elasticnet__max_iter': 100000, 'elasticnet__selection': 'random'}",-8.027573482865325,-5.466964080230143,-6.387312351705069,-9.809330914899395,-7.422795207424983,1.6552046390166602,41,-7.213458346982248,-8.065927462485208,-7.759004578461538,-6.620954064761527,-7.414836113172631,0.5507207979444376
76,0.003553450107574463,0.00024105311442268056,0.0030423998832702637,0.0014462158967347843,129.15496650148827,0.75,100000,cyclic,"{'elasticnet__alpha': 129.15496650148827, 'elasticnet__l1_ratio': 0.75, 'elasticnet__max_iter': 100000, 'elasticnet__selection': 'cyclic'}",-8.027573482865325,-5.466964080230143,-6.387312351705069,-9.809330914899395,-7.422795207424983,1.6552046390166602,41,-7.213458346982248,-8.065927462485208,-7.759004578461538,-6.620954064761527,-7.414836113172631,0.5507207979444376
77,0.0038597583770751953,0.0007168524919555726,0.003441035747528076,0.0021411560459595426,129.15496650148827,0.75,100000,random,"{'elasticnet__alpha': 129.15496650148827, 'elasticnet__l1_ratio': 0.75, 'elasticnet__max_iter': 100000, 'elasticnet__selection': 'random'}",-8.027573482865325,-5.466964080230143,-6.387312351705069,-9.809330914899395,-7.422795207424983,1.6552046390166602,41,-7.213458346982248,-8.065927462485208,-7.759004578461538,-6.620954064761527,-7.414836113172631,0.5507207979444376
78,0.00581735372543335,0.0030050276167116136,0.0016039609909057617,2.7422541803493424e-05,129.15496650148827,1.0,100000,cyclic,"{'elasticnet__alpha': 129.15496650148827, 'elasticnet__l1_ratio': 1.0, 'elasticnet__max_iter': 100000, 'elasticnet__selection': 'cyclic'}",-8.027573482865325,-5.466964080230143,-6.387312351705069,-9.809330914899395,-7.422795207424983,1.6552046390166602,41,-7.213458346982248,-8.065927462485208,-7.759004578461538,-6.620954064761527,-7.414836113172631,0.5507207979444376
79,0.007660508155822754,0.002530105838864922,0.0030950307846069336,0.0023537671845880567,129.15496650148827,1.0,100000,random,"{'elasticnet__alpha': 129.15496650148827, 'elasticnet__l1_ratio': 1.0, 'elasticnet__max_iter': 100000, 'elasticnet__selection': 'random'}",-8.027573482865325,-5.466964080230143,-6.387312351705069,-9.809330914899395,-7.422795207424983,1.6552046390166602,41,-7.213458346982248,-8.065927462485208,-7.759004578461538,-6.620954064761527,-7.414836113172631,0.5507207979444376
80,4.881319999694824,0.09798261555088625,0.002501249313354492,0.0007948372687109289,359.38136638046257,0.0,100000,cyclic,"{'elasticnet__alpha': 359.38136638046257, 'elasticnet__l1_ratio': 0.0, 'elasticnet__max_iter': 100000, 'elasticnet__selection': 'cyclic'}",-8.024855240530364,-5.464583697976813,-6.384678413198468,-9.80654929971969,-7.420166662856333,1.6550688062131156,37,-7.21063604225044,-8.062878861162574,-7.756214719901811,-6.618249217600258,-7.41199471022877,0.5506166573111944
81,4.916294872760773,0.11886934842866838,0.004389405250549316,0.0015849102792613473,359.38136638046257,0.0,100000,random,"{'elasticnet__alpha': 359.38136638046257, 'elasticnet__l1_ratio': 0.0, 'elasticnet__max_iter': 100000, 'elasticnet__selection': 'random'}",-8.024855240530364,-5.464583697976813,-6.384678413198468,-9.80654929971969,-7.420166662856333,1.6550688062131156,37,-7.21063604225044,-8.062878861162574,-7.756214719901811,-6.618249217600258,-7.41199471022877,0.5506166573111944
82,0.006613433361053467,0.003334349465120512,0.002614319324493408,0.0013981587685907289,359.38136638046257,0.25,100000,cyclic,"{'elasticnet__alpha': 359.38136638046257, 'elasticnet__l1_ratio': 0.25, 'elasticnet__max_iter': 100000, 'elasticnet__selection': 'cyclic'}",-8.027573482865325,-5.466964080230143,-6.387312351705069,-9.809330914899395,-7.422795207424983,1.6552046390166602,41,-7.213458346982248,-8.065927462485208,-7.759004578461538,-6.620954064761527,-7.414836113172631,0.5507207979444376
