,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_ridge__alpha,param_ridge__max_iter,param_ridge__solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,mean_train_score,std_train_score
0,0.1332438588142395,0.01806339202425552,0.004201710224151611,0.0015037161790507987,1.0,100000,saga,"{'ridge__alpha': 1.0, 'ridge__max_iter': 100000, 'ridge__solver': 'saga'}",-6.4943865664078,-5.45056924727806,-5.668820182991627,-35.74855649500535,-13.34058312292071,12.943105727555949,7,-13.698447635345994,-14.052485835528014,-13.917870104777727,-4.497648455182709,-11.541613007708612,4.068797499786339
1,0.09537780284881592,0.021158988343593473,0.002490222454071045,0.00034996417845369016,2.154434690031884,100000,saga,"{'ridge__alpha': 2.154434690031884, 'ridge__max_iter': 100000, 'ridge__solver': 'saga'}",-6.4120003144004025,-5.355813586762795,-5.627603700074843,-35.65750152798227,-13.263229782305078,12.935153350446605,5,-13.775959230616088,-14.116334844725811,-13.991720323775489,-4.565812256131127,-11.612456663812129,4.070203995911848
2,0.07398581504821777,0.03178801378173566,0.004141509532928467,0.0020268404523517878,4.641588833612778,100000,saga,"{'ridge__alpha': 4.641588833612778, 'ridge__max_iter': 100000, 'ridge__solver': 'saga'}",-6.312734658086911,-5.233814180404612,-5.583785338547923,-35.5977201666422,-13.18201358592041,12.947565802018563,3,-13.890953173410532,-14.234657446639803,-14.106159329621894,-4.6848501142873635,-11.729155015989898,4.06888482137905
3,0.05421900749206543,0.021006004602609787,0.004106283187866211,0.0019800162538706908,10.0,100000,saga,"{'ridge__alpha': 10.0, 'ridge__max_iter': 100000, 'ridge__solver': 'saga'}",-6.187647964449264,-5.1156373483011555,-5.561727071668172,-35.638096879785444,-13.125777316051009,13.003070497403195,1,-14.071182365486859,-14.439802916243885,-14.296281824738346,-4.853238058727667,-11.91512629129919,4.079299478444299
4,0.030730605125427246,0.0019360613509530069,0.002120673656463623,0.00013295447656390066,21.544346900318832,100000,saga,"{'ridge__alpha': 21.544346900318832, 'ridge__max_iter': 100000, 'ridge__solver': 'saga'}",-6.064151301389062,-5.048126023100612,-5.591678864237567,-35.80743396822637,-13.127847539238402,13.098999801577847,2,-14.35424797591561,-14.73386419010592,-14.571560293249792,-5.056312315180154,-12.178996193612868,4.11448840680322
5,0.020932018756866455,0.004726410833284277,0.0024076104164123535,0.0006898173524102233,46.41588833612777,100000,saga,"{'ridge__alpha': 46.41588833612777, 'ridge__max_iter': 100000, 'ridge__solver': 'saga'}",-5.999598710376168,-5.060551546445799,-5.698646159417053,-36.05501125462326,-13.203451917715569,13.19771003893595,4,-14.7386839199086,-15.107809074948365,-14.92284795811712,-5.269274566279829,-12.509653879813479,4.182271619618298
6,0.01973903179168701,0.005872567075938182,0.002539992332458496,0.0009103296160991192,100.0,100000,saga,"{'ridge__alpha': 100.0, 'ridge__max_iter': 100000, 'ridge__solver': 'saga'}",-6.025454962858499,-5.1513688114872895,-5.872622463105532,-36.28874356451744,-13.33454745049219,13.256721779810109,6,-15.16459596445102,-15.50327868724795,-15.293826134076735,-5.477192412518742,-12.859723299573611,4.264019289246251
7,0.009354770183563232,0.002421220402781721,0.0027841925621032715,0.0014825858041994456,215.44346900318823,100000,saga,"{'ridge__alpha': 215.44346900318823, 'ridge__max_iter': 100000, 'ridge__solver': 'saga'}",-6.123250965154154,-5.293778203077414,-6.071260116202676,-36.463492185851116,-13.48794536757134,13.269005905469152,8,-15.548794833240446,-15.859883785688119,-15.62282325036908,-5.6816643178872726,-13.17829154679623,4.3297048925336705
8,0.013068556785583496,0.0006454651353661092,0.0026549696922302246,0.0010884821612577589,464.15888336127773,100000,saga,"{'ridge__alpha': 464.15888336127773, 'ridge__max_iter': 100000, 'ridge__solver': 'saga'}",-6.257272477097517,-5.456333143015056,-6.255435720005964,-36.601839878899455,-13.642720304754498,13.259476983773578,9,-15.856381988261875,-16.14637580226291,-15.888883564372621,-5.883219872291263,-13.443715306797166,4.3664995503446535
9,0.010726213455200195,0.0041769778501544,0.0022086501121520996,0.0003934409504947572,1000.0,100000,saga,"{'ridge__alpha': 1000.0, 'ridge__max_iter': 100000, 'ridge__solver': 'saga'}",-6.396523886046311,-5.614847030060544,-6.409612274520453,-36.73160595300097,-13.788147285907069,13.25032082706391,10,-16.089861781059998,-16.365057306875645,-16.10065541521294,-6.066952773238913,-13.655631819096874,4.382711832534517
