,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_randomforestregressor__max_depth,param_randomforestregressor__max_features,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,mean_train_score,std_train_score
8,0.06873798370361328,0.0012833999143368577,0.005979478359222412,0.0026563075418556993,3,sqrt,"{'randomforestregressor__max_depth': 3, 'randomforestregressor__max_features': 'sqrt'}",-6.071051213298007,-5.526392415598824,-5.871456837196671,-36.304180884495494,-13.443270337647249,13.200190922545794,2,-13.644809769331758,-13.872596756685965,-14.112216362506837,-5.286844514441858,-11.729116850741605,3.7231176990377426
9,0.06485545635223389,0.0028233645589621557,0.00738680362701416,0.003000859594245619,3,log2,"{'randomforestregressor__max_depth': 3, 'randomforestregressor__max_features': 'log2'}",-6.148416913193254,-5.2794754641967785,-5.918824486215751,-36.3235214531204,-13.417559579181546,13.228595593692816,1,-14.209055001365213,-14.766165882841543,-14.771075020649352,-5.382727844385437,-12.282255937310387,3.9899897113089136
10,0.1270045042037964,0.0010703400355696357,0.008604168891906738,0.0024563424592270416,10,0.5,"{'randomforestregressor__max_depth': 10, 'randomforestregressor__max_features': 0.5}",-6.028459559722887,-9.459977764775772,-5.829741154970705,-36.567642885396204,-14.47145534121639,12.838611814851824,17,-3.2939810681374646,-3.2217475559036686,-3.392286327739444,-2.2268319997480885,-3.0337117378821663,0.46976809210321796
11,0.14935791492462158,0.0025800941211137716,0.008069336414337158,0.0028953437904242,10,0.75,"{'randomforestregressor__max_depth': 10, 'randomforestregressor__max_features': 0.75}",-6.447798611552724,-9.579294311792966,-5.804989411094327,-36.34031620104285,-14.543099633870717,12.66537092093065,19,-3.3171938521070956,-3.3357867231995297,-3.278365748773313,-2.1792930197605354,-3.0276598359601183,0.4902427548404365
12,0.18403297662734985,0.004742305399473265,0.008464515209197998,0.0032230538891610573,10,1.0,"{'randomforestregressor__max_depth': 10, 'randomforestregressor__max_features': 1.0}",-6.978565162163164,-11.068542190893515,-5.75410031701318,-36.6694740925916,-15.117670440665364,12.597590646919112,27,-3.5631858393022138,-3.716032923760825,-3.4293769729490156,-2.2020984722094252,-3.2276735520553697,0.6007395203470824
13,0.08901578187942505,0.003278459925669379,0.010426521301269531,0.003531442372121714,10,sqrt,"{'randomforestregressor__max_depth': 10, 'randomforestregressor__max_features': 'sqrt'}",-5.699739035200827,-7.727969085893856,-5.18481603514756,-36.22713638187745,-13.709915134529924,13.035040918878474,5,-4.547250596804596,-4.163886038339463,-4.392297189195531,-2.8829885403704236,-3.996605591177503,0.6572494668721848
14,0.09193694591522217,0.006563668238261904,0.009043753147125244,0.0041953586122623334,10,log2,"{'randomforestregressor__max_depth': 10, 'randomforestregressor__max_features': 'log2'}",-5.888499918547731,-7.536265611672988,-5.245189896230306,-36.48748093118449,-13.78935908940888,13.131377650734487,8,-5.207174982762446,-5.0218473655237705,-5.15430694032589,-3.0159698545068814,-4.599824785779747,0.916927508396415
15,0.17935395240783691,0.012646675067163325,0.007549703121185303,0.0011234190393682422,30,0.5,"{'randomforestregressor__max_depth': 30, 'randomforestregressor__max_features': 0.5}",-6.657249230869767,-10.696892013218633,-5.787477104665688,-36.43325257331895,-14.89371773051826,12.57306584556092,24,-2.4856579259129354,-2.4337557427737075,-2.3018513557898888,-1.2866070649362706,-2.126968022353201,0.4897876762897189
16,0.22763794660568237,0.008405172063575828,0.013602077960968018,0.005343912203408723,30,0.75,"{'randomforestregressor__max_depth': 30, 'randomforestregressor__max_features': 0.75}",-6.710026654209316,-8.340051480421145,-5.964119882646471,-37.076135041033815,-14.522583264577687,13.049614297417579,18,-2.324641326022568,-2.2790716819177073,-2.411190152994727,-1.2993226391996913,-2.0785564500336733,0.45238662576948774
17,0.27467548847198486,0.01457676759584209,0.011102735996246338,0.002355829473127146,30,1.0,"{'randomforestregressor__max_depth': 30, 'randomforestregressor__max_features': 1.0}",-7.167685518623949,-11.20974776802245,-5.96594788017376,-37.09831264961748,-15.36042345410941,12.699813596231209,28,-2.5672232858077897,-2.690008759836511,-2.6812249361897242,-1.3158880372502957,-2.31358625477108,0.5780539722102602
18,0.12669020891189575,0.016042416301520118,0.008449256420135498,0.003077909404320878,30,sqrt,"{'randomforestregressor__max_depth': 30, 'randomforestregressor__max_features': 'sqrt'}",-6.392198833229182,-8.99849142499884,-5.943287437102282,-37.05861101507443,-14.598147177601184,13.019915185018549,20,-2.249934795630216,-2.2020520356301865,-2.340930108700834,-1.2189055728086737,-2.0029556281924776,0.45541171686318077
19,0.10976618528366089,0.012715634619718849,0.006744444370269775,0.0002746994563234715,30,log2,"{'randomforestregressor__max_depth': 30, 'randomforestregressor__max_features': 'log2'}",-6.2017785598201645,-8.214143373888659,-5.405001097488553,-36.78499955911473,-14.151480647578026,13.107505674466308,13,-2.2297407914695166,-2.0888571358174612,-2.2554772665468814,-1.2474430884456373,-1.9553795705698742,0.4136190970600591
20,0.17185407876968384,0.005907079153458879,0.011713206768035889,0.005932464774638801,50,0.5,"{'randomforestregressor__max_depth': 50, 'randomforestregressor__max_features': 0.5}",-6.537216745981137,-11.329448221673708,-5.774423851439726,-36.34989246441428,-14.997745320877213,12.510203774744264,25,-2.365474786518089,-2.42712639600813,-2.2541889942588966,-1.287624954052654,-2.0836037827094427,0.46371884226998444
21,0.22158688306808472,0.017732432221393122,0.009554624557495117,0.0019506405720939389,50,0.75,"{'randomforestregressor__max_depth': 50, 'randomforestregressor__max_features': 0.75}",-6.702297020559206,-8.90450133479317,-5.994624036820796,-36.893809120125404,-14.623807878074643,12.902292147995023,21,-2.331037305024938,-2.303392225754432,-2.4129355232701926,-1.291505128158683,-2.0847175455520612,0.45972954540490757
22,0.27220600843429565,0.018988427060591884,0.012741684913635254,0.0019216765058970668,50,1.0,"{'randomforestregressor__max_depth': 50, 'randomforestregressor__max_features': 1.0}",-7.154606538653312,-12.086194253900485,-5.9574675453889325,-37.09488480275079,-15.57328828517338,12.636031341932462,29,-2.5655041230090485,-2.7656381072380056,-2.658755729072949,-1.3110433475489978,-2.3252353267172503,0.5898103366673575
