,Model,MAE,MSE,RMSE,R2 Score
0,baseline,1.8458945446004276,13.196864054394005,3.6327488289715277,0.0
0,Linear Regression,1.6496342165898619,5.755842707733295,2.399133741110173,0.18081237372946313
0,Ridge,1.6127154433144477,4.875113137837207,2.2079658371082664,0.17641429775972428
0,Lasso,1.68589367435779,5.631979561210336,2.3731792096700866,-9.252416609761838e-06
0,ElasticNet,1.6162002363973138,4.880992051341687,2.209296732297789,0.17542113329972064
0,Random Forest Regressor,1.6108056148943826,5.011678961666008,2.2386779495197624,0.1533433132020281
0,SVR,1.5168440473820828,4.651481138603163,2.156729268731512,0.21419395782609074
0,KNN Regressor,1.5864055299539166,5.237769088421659,2.2886172874514554,0.06998640646385068
0,xgboost,1.4922016007456038,4.226874946388971,2.0559365132194554,0.3044354290578436
